# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
##DOWN_UP_PIPE
114901	213	153	231	181	0


#IDLE
11121	246	154	259	181	0
11119	186	154	199	181	0

11721	331	322	346	351	100
11726	294	362	311	391	100


11111	176	242	191	271	100
11711	61	322	76	351	100
11716	94	362	111	391	100

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

#HOLD RIGHT LEFT
11722	357	322	372	351	100
11723	382	322	397	351	100

11712	35	322	50	351	100
11713	10	322	25	351	100
###########KICK

#KICK_LEFT
18001	1	273	24	302	0
#KICK_RIGHT
18002	422	273	444	302	0


############ SMALL ################
#HOLD RIGHT LEFT
12621	336	169	351	184	100
12622	377	169	392	184	100

12611	56	169	71	184	100
12612	15	169	30	184	100

#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

#KICK_small
#LEFT_kick_small
17001	4	78	22	97	0
#RIGHT_kick_small
17002	423	78	443	97	0


######MARIO FLY#########

#FLYING
1114906	249	562	275	592	100

1114907	130	562	157	592	100


##HOLD_GO_RIGHT
#ISONPLATFORM
1114900	320	522	344	552	100
1114901	349	522	376	552	100
1114902	380	522	406	552	100

##HOLD_GO_LEFT
#ISONPLATFORM
1114903	60	522	85	552	100
1114904	31	522	56	552	100
1114905	0	522	26	552	100

##DOWN_UP_PIPE
114900	353	481	373	512	100

#ATTACK_RIGHT
14900	388	482	406	511	100
14901	146	443	170	471	100
14902	353	482	371	511	100

#ATTACK_LEFT
14905	235	443	259	471	100

#HIT_OF_TAIL
14950	7	1	24	16	110
14951	25	1	42	16	110
14952	7	17	24	34	110
14953	25	17	42	34	110

#FLY DOWN RIGHT LEFT
14751	252	603	275	630	100
14752	211	603	234	630	100
14753	291	443	314	470	100


14741	131	603	154	630	100
14742	171	603	194	630	100
14743	91	443	114	470	100



#IDLE

14121	211	443	232	470	100
14721	322	523	343	550	100
14726	291	563	312	590	100

14111	171	443	192	470	100
14711	62	523	83	550	100
14716	92	563	113	590	100

#WALKING RIGHT
14222	261	443	282	470	100
14223	291	443	312	470	100
#WALKING LEFT
14212	121	443	142	470	100
14213	91	443	112	470	100
#RUNNING RIGHT
14321	213	523	234	550	100
14322	253	523	274	550	100
14323	293	523	314	550	100

#RUNNING LEFT
14311	171	523	192	550	100
14312	131	523	152	550	100
14313	91	523	112	550	100
#JUMP WALK RIGHT
14417	331	443	352	470	100
14413	51	443	72	470	100
#JUMP RUN RIGHT & LEFT
#?
###RIGHT - DOWN  - UP
14427	291	603	314	630	100
14428	331	603	354	630	100

